Epoch:0, Duration:2.852442, Train_Cost:67.334432, Valid_Cost:64.854935, Test_Cost:64.855930
Epoch:1, Duration:2.942517, Train_Cost:64.659293, Valid_Cost:64.419340, Test_Cost:64.395770
Epoch:2, Duration:2.805996, Train_Cost:63.944419, Valid_Cost:63.679265, Test_Cost:63.634715
Epoch:3, Duration:2.858203, Train_Cost:63.305536, Valid_Cost:63.300604, Test_Cost:63.284458
Epoch:4, Duration:2.936074, Train_Cost:62.835758, Valid_Cost:62.673590, Test_Cost:62.663294
Epoch:5, Duration:2.860590, Train_Cost:62.423795, Valid_Cost:62.387218, Test_Cost:62.373224
Epoch:6, Duration:2.920436, Train_Cost:62.115969, Valid_Cost:62.126827, Test_Cost:62.117619
Epoch:7, Duration:2.955440, Train_Cost:61.829860, Valid_Cost:61.866626, Test_Cost:61.898128
Epoch:8, Duration:3.090060, Train_Cost:61.576680, Valid_Cost:61.747693, Test_Cost:61.763076
Epoch:9, Duration:2.722390, Train_Cost:61.426983, Valid_Cost:61.553093, Test_Cost:61.539990
Epoch:10, Duration:2.629462, Train_Cost:61.274615, Valid_Cost:61.478462, Test_Cost:61.495252
Epoch:11, Duration:2.716358, Train_Cost:61.093866, Valid_Cost:61.332921, Test_Cost:61.312626
Epoch:12, Duration:2.651335, Train_Cost:60.980506, Valid_Cost:61.214730, Test_Cost:61.207628
Epoch:13, Duration:2.868349, Train_Cost:60.863256, Valid_Cost:61.083613, Test_Cost:61.108077
Epoch:14, Duration:2.674067, Train_Cost:60.771633, Valid_Cost:61.030887, Test_Cost:61.080658
Epoch:15, Duration:2.680635, Train_Cost:60.665498, Valid_Cost:61.010670, Test_Cost:61.047105
Epoch:16, Duration:2.749260, Train_Cost:60.547704, Valid_Cost:60.927960, Test_Cost:60.934076
Epoch:17, Duration:2.775804, Train_Cost:60.488911, Valid_Cost:60.747416, Test_Cost:60.760193
Epoch:18, Duration:2.885795, Train_Cost:60.405715, Valid_Cost:60.733857, Test_Cost:60.746325
Epoch:19, Duration:2.742480, Train_Cost:60.319158, Valid_Cost:60.695971, Test_Cost:60.659957
Epoch:20, Duration:2.680560, Train_Cost:60.252379, Valid_Cost:60.646713, Test_Cost:60.646771
Epoch:21, Duration:2.758768, Train_Cost:60.212605, Valid_Cost:60.620603, Test_Cost:60.593493
Epoch:22, Duration:2.785629, Train_Cost:60.129397, Valid_Cost:60.519798, Test_Cost:60.509843
Epoch:23, Duration:2.752554, Train_Cost:60.060801, Valid_Cost:60.558492, Test_Cost:60.526382
Epoch:24, Duration:2.610365, Train_Cost:59.986271, Valid_Cost:60.465859, Test_Cost:60.440866
Epoch:25, Duration:2.606599, Train_Cost:59.924385, Valid_Cost:60.501652, Test_Cost:60.466118
Epoch:26, Duration:2.610771, Train_Cost:59.834780, Valid_Cost:60.411957, Test_Cost:60.409117
Epoch:27, Duration:2.650746, Train_Cost:59.799550, Valid_Cost:60.351163, Test_Cost:60.312425
Epoch:28, Duration:2.795056, Train_Cost:59.757096, Valid_Cost:60.305845, Test_Cost:60.295345
Epoch:29, Duration:2.710307, Train_Cost:59.670295, Valid_Cost:60.336033, Test_Cost:60.307776
Epoch:30, Duration:2.642241, Train_Cost:59.641037, Valid_Cost:60.272712, Test_Cost:60.244804
Epoch:31, Duration:2.753234, Train_Cost:59.577618, Valid_Cost:60.279588, Test_Cost:60.270680
Epoch:32, Duration:2.626867, Train_Cost:59.571674, Valid_Cost:60.271535, Test_Cost:60.278172
Epoch:33, Duration:2.718580, Train_Cost:59.485938, Valid_Cost:60.187020, Test_Cost:60.209306
Epoch:34, Duration:2.754170, Train_Cost:59.461264, Valid_Cost:60.198176, Test_Cost:60.213526
Epoch:35, Duration:2.744967, Train_Cost:59.382688, Valid_Cost:60.165555, Test_Cost:60.163937
Epoch:36, Duration:2.671754, Train_Cost:59.356496, Valid_Cost:60.175332, Test_Cost:60.142525
Epoch:37, Duration:2.625969, Train_Cost:59.291946, Valid_Cost:60.162484, Test_Cost:60.156197
Epoch:38, Duration:2.771980, Train_Cost:59.273459, Valid_Cost:60.159462, Test_Cost:60.146194
Epoch:39, Duration:2.835654, Train_Cost:59.182292, Valid_Cost:60.098758, Test_Cost:60.126405
Epoch:40, Duration:2.624215, Train_Cost:59.144415, Valid_Cost:60.119096, Test_Cost:60.092779
Epoch:41, Duration:2.533439, Train_Cost:59.100208, Valid_Cost:60.078131, Test_Cost:60.067551
Epoch:42, Duration:2.721263, Train_Cost:59.083113, Valid_Cost:60.084441, Test_Cost:60.068290
Epoch:43, Duration:2.549105, Train_Cost:59.034336, Valid_Cost:60.084108, Test_Cost:60.087340
Epoch:44, Duration:2.554708, Train_Cost:58.995981, Valid_Cost:60.078661, Test_Cost:60.084970
Epoch:45, Duration:2.540358, Train_Cost:58.982591, Valid_Cost:60.076906, Test_Cost:60.059283
Epoch:46, Duration:2.769823, Train_Cost:58.889572, Valid_Cost:60.075377, Test_Cost:60.053587
Epoch:47, Duration:2.721960, Train_Cost:58.851717, Valid_Cost:60.000280, Test_Cost:60.005644
Epoch:48, Duration:2.581979, Train_Cost:58.820304, Valid_Cost:60.027983, Test_Cost:60.007011
Epoch:49, Duration:2.562973, Train_Cost:58.752608, Valid_Cost:60.016574, Test_Cost:60.001391
Epoch:50, Duration:2.474133, Train_Cost:58.726904, Valid_Cost:59.993024, Test_Cost:59.999976
Epoch:51, Duration:2.593457, Train_Cost:58.694695, Valid_Cost:60.029474, Test_Cost:60.009199
Epoch:52, Duration:2.640170, Train_Cost:58.681877, Valid_Cost:59.990711, Test_Cost:59.991346
Epoch:53, Duration:2.637173, Train_Cost:58.633098, Valid_Cost:60.052241, Test_Cost:60.058402
Epoch:54, Duration:2.703727, Train_Cost:58.582477, Valid_Cost:60.040141, Test_Cost:60.006624
Epoch:55, Duration:2.654244, Train_Cost:58.528588, Valid_Cost:60.093002, Test_Cost:60.030896
Epoch:56, Duration:2.554036, Train_Cost:58.492495, Valid_Cost:60.052143, Test_Cost:60.021082
Epoch:57, Duration:2.622567, Train_Cost:58.453118, Valid_Cost:60.052955, Test_Cost:60.048110
Epoch:58, Duration:2.670565, Train_Cost:58.449646, Valid_Cost:60.006585, Test_Cost:59.997431
Epoch:59, Duration:2.688968, Train_Cost:58.383433, Valid_Cost:59.986302, Test_Cost:59.955099
Epoch:60, Duration:2.660497, Train_Cost:58.336590, Valid_Cost:60.021035, Test_Cost:59.974765
Epoch:61, Duration:2.579146, Train_Cost:58.287296, Valid_Cost:60.017708, Test_Cost:60.004010
Epoch:62, Duration:2.615848, Train_Cost:58.279638, Valid_Cost:59.989582, Test_Cost:59.983284
Epoch:63, Duration:2.587257, Train_Cost:58.230714, Valid_Cost:60.032674, Test_Cost:59.979728
Epoch:64, Duration:2.682459, Train_Cost:58.161929, Valid_Cost:60.056245, Test_Cost:60.009223
Epoch:65, Duration:2.675544, Train_Cost:58.167728, Valid_Cost:60.100803, Test_Cost:60.066037
Epoch:66, Duration:2.649159, Train_Cost:58.127261, Valid_Cost:60.063731, Test_Cost:60.010605
Epoch:67, Duration:2.702145, Train_Cost:58.107342, Valid_Cost:60.052761, Test_Cost:60.015165
Epoch:68, Duration:2.726603, Train_Cost:58.013068, Valid_Cost:60.070186, Test_Cost:60.026958
Epoch:69, Duration:2.735990, Train_Cost:58.025294, Valid_Cost:60.049771, Test_Cost:59.996966
Epoch:70, Duration:2.647570, Train_Cost:57.992532, Valid_Cost:60.034086, Test_Cost:59.977410
Epoch:71, Duration:2.625403, Train_Cost:57.931350, Valid_Cost:60.023953, Test_Cost:59.984018
Epoch:72, Duration:2.679670, Train_Cost:57.908313, Valid_Cost:60.040515, Test_Cost:59.987096
Epoch:73, Duration:2.630695, Train_Cost:57.860176, Valid_Cost:60.046154, Test_Cost:60.023369
Epoch:74, Duration:2.545904, Train_Cost:57.809428, Valid_Cost:60.086582, Test_Cost:59.989681
Epoch:75, Duration:2.587054, Train_Cost:57.800098, Valid_Cost:60.073820, Test_Cost:60.004729
Epoch:76, Duration:2.562681, Train_Cost:57.761077, Valid_Cost:60.060400, Test_Cost:60.003634
Epoch:77, Duration:2.575474, Train_Cost:57.691500, Valid_Cost:60.065679, Test_Cost:60.001246
Epoch:78, Duration:2.578522, Train_Cost:57.672248, Valid_Cost:60.063273, Test_Cost:60.004430
Epoch:79, Duration:2.542147, Train_Cost:57.656940, Valid_Cost:60.081712, Test_Cost:60.033112
Epoch:80, Duration:2.575552, Train_Cost:57.645999, Valid_Cost:60.028616, Test_Cost:59.995450
Epoch:81, Duration:2.514841, Train_Cost:57.575976, Valid_Cost:60.087278, Test_Cost:60.036828
Epoch:82, Duration:2.544688, Train_Cost:57.544497, Valid_Cost:60.052079, Test_Cost:60.020576
Epoch:83, Duration:2.571119, Train_Cost:57.500511, Valid_Cost:60.041789, Test_Cost:60.019475
Epoch:84, Duration:2.552755, Train_Cost:57.477113, Valid_Cost:60.069419, Test_Cost:60.039588
Epoch:85, Duration:2.587142, Train_Cost:57.477293, Valid_Cost:60.135935, Test_Cost:60.095268
Epoch:86, Duration:2.562301, Train_Cost:57.382687, Valid_Cost:60.051411, Test_Cost:60.053516
Epoch:87, Duration:2.751897, Train_Cost:57.365409, Valid_Cost:60.115911, Test_Cost:60.069373
Epoch:88, Duration:2.907654, Train_Cost:57.342139, Valid_Cost:60.112947, Test_Cost:60.085474
Epoch:89, Duration:2.852925, Train_Cost:57.289325, Valid_Cost:60.096714, Test_Cost:60.071436
Epoch:90, Duration:2.846651, Train_Cost:57.285092, Valid_Cost:60.116955, Test_Cost:60.081642
Epoch:91, Duration:2.714854, Train_Cost:57.248475, Valid_Cost:60.107162, Test_Cost:60.056391
Epoch:92, Duration:2.695881, Train_Cost:57.245676, Valid_Cost:60.108656, Test_Cost:60.080611
Epoch:93, Duration:2.725050, Train_Cost:57.186455, Valid_Cost:60.101635, Test_Cost:60.065821
Epoch:94, Duration:2.581530, Train_Cost:57.152844, Valid_Cost:60.124455, Test_Cost:60.083874
Epoch:95, Duration:2.668638, Train_Cost:57.125864, Valid_Cost:60.118741, Test_Cost:60.075884
Epoch:96, Duration:2.865404, Train_Cost:57.088753, Valid_Cost:60.150400, Test_Cost:60.148709
Epoch:97, Duration:2.722744, Train_Cost:57.048909, Valid_Cost:60.103545, Test_Cost:60.106254
Epoch:98, Duration:2.584585, Train_Cost:57.017836, Valid_Cost:60.201880, Test_Cost:60.144950
Epoch:99, Duration:2.603890, Train_Cost:57.011916, Valid_Cost:60.122112, Test_Cost:60.118033
Best Epoch:59, Avg_Duration:2.688432, Train_Cost:58.383433, Valid_Cost:59.986302, Test_Cost:59.955099
